score,content
3,"Sudah dipotong saldoku 86 ribu sekian, kok msh gk bisa juga, kok tulisannya rubah ke mode pro terus, padahal sudah dipotong otomatis"
1,"Aplikasinya skrg berbayar, jd males pakainya. Lebih baik kembalikan spt dulu saja..iklan tipis2 gpp toh gk dipakai setiap hari jg"
5,"Aplikasi nya bagus, cuma banyak yg pro harus bayar, gak bisa di ganti bayarnya nonton iklan kan lebih seru"
5,Saya suka karena bagus sekali sayangnyaa banyak pro pake' bayar. Ribet Kalau iklan kan enak bisa nonton.
1,Dulu suka banget pake aplikasi ini..biarpun suruh tonton iklan...tpi sekarang mesti bayar perbulan.
5,"Tolong tingkat kan lagi dong biar mudah untuk edit semua fitur nya dan gratis ya,aku suka aplikasi ini toppp pokoe"
5,"Kasih fitur yg lain nya dong buat yg ga pro, sekrang fitur nya sedikit."
3,"Saya mohon kembalikan fitur faceswap, karena itu penting dan sangat bagus, jika ditambahkan, saya akan memberikan 5 bintang penilaian"
5,"Bagus juga.. Dan mudah cara pakainya, cuman fiturnya banyak yg harus berlangganan"
4,"Menurut saya udah bagus,tapi masih sedikit kekurangan,untuk basis free sangat sedikit,dan pada menu swap face.masih kurang akurat,kurang mampu menyesuaikan posisi wajahnya.mohon agar diperbaiki lagi."
3,Maaf saya turunkan Bintangnya... Dikarenakan semakin kesini bukannya semakin lebih baik malah semakin lelet dan ribet menggunakan apk ini sekarang tidak lagi bisa editor video... Semakin kurang nyaman digunakan... Tolong untuk pengembang apk ini kembalikan apk ini seperti pertamakali muncul. Kami juga bermodal memberikan keuntungan yg tidaklah sedikit memakai kuota yg terpakai saat penggunakan apk ini. Terimakasih
2,Sekarang ga ada yang gratis sama sekali.ga asik lah semua harus pro dan bayar.mana mahal bayarnya.uninstall langsung
5,"Aplikasinya bagus,sangat memuaskan,intinya tingkatkan terus"
5,Sebenernya bagus buat editannya keren cm harus berbayar pilihan cuma satu yg tak berbayar gk bisa milih sekarang sukses selalu
1,"Jelek, hampir semua fiturnya harus pake premium minimal poni ny 1 pilihan aja yang gak premium, jelekkk gak rekomend🙄🙄🙄"
1,Untuk kalian sayah mau kasih kalian saran lebih baik jangan download ini apl nanti kalian nyesel masa semua harus serba pro sedang kan kami kan tak setiap hari setiap detik untuk mengedit poto seditak nya ada yang gratis gituh
5,FeceApp sangat memudahkan saya mengedit dan mempercantik foto pokoknya hasil dan efeknya sangat keren👍🏻
1,"Tidak bisa buka aplikasi setelah diupdate,konyol"
1,Jadi ga asik padahal sudah lama pake aplikasi ini. Semangat aja buat pencipta aplikasi sehat selalu lancar rezekinya. Maaf kalo bintang 1 tp kalo sudah kaya dlu lg pasti naik lg bintangnya 💪🏻
4,Hasilnya bagus. Saya suka. Tp setelah update kog malah sedikit yg bisa digunakan. Alias banyak yg berbayar.
1,Tolong lebih baik banyakin mode gratis juga soalnya lebih banyak mode pro ketimbang gratis palingan cuman 1-10 efek aja yang di gratisin sisanya pro
5,"puas dgn segala fitur gaya nya kembangkan terus, kalau bisa sih yg pro cukup tonton iklan saja euy"
5,"Alhamdulillah udah gak bayar lagi, semoga tetep kayak gini.soalnya waktu itu aku mau edit foto suruh bayar pro semua"
5,"Bagus aplikasi edit fotonya,coba picture nya dibuka gratis lebih menghibur"
1,"Barusan donlod kok udah ga ada fitur tukar wajah ya, kudu ke pro dulu si. Padahal pas itu masih enak bisa tukar wajah yg udah make up an sama yg belom, ngebantu banget kalau lagi males dandan. Ini sekarang ga bisa"
3,"face app semenjak di update kok ga ada fitur tuker wajah? terus juga semuanya jadi pro, padahal dulu pro cuma untuk beberapa fitur doang tapi kok ini hampir semua fitur jadi pro? dan fitur iklannya juga ga ada, padahal dulu aplikasi faceApp menjadi aplikasi favorit gue, semenjak banyak fitur pro jadinya gue unistal :(("
4,Banyak iklan dan ada yang gak geratis mohon perbaik ki ya sekian segitu dulu ya oh aku kasih bintang 4 aja ya🙏🙏
1,"Skrng ma yg dulu dah beda,,yg dulu cuma mengandalkan iklan ajj udah bisa edit skrng hrs ke pro dulu,,,,"
5,Sangat membantu tapi sayang tidak seperti dulu bisa liat iklan dulu baru bisa di save sekarang mah harus bayar
2,Masalah yang saya rasakan di aplikasi ini tidak bisa mengedit video hanya foto yang dapat saya bisa edit masalahnya tidak bisa saya edit
5,"Aplikasinya sangat bagus,aplikasi edit photo yang terbaik,namun sayangnya harus berbayar"
1,"Uninstal !!!!! Semakin BURUK, fitur tukar wajah dihilangkan. Semua pro 👎👎👎👎👎"
5,AQ suka sekali dengan aplikasi ini.. bagus untuk dijadikan bahan hiburan.. aplikasi yg dulu pernah aq pake...
5,Saya asalnya seneng pakay aplikasi faceapp sangat bagun Tapi ketika aku mau berlagganan lagi tidak bisa kata sandi di google sllu di tolak sus h banget mau berlangganan
1,"Untuk mode rias yang lipstik nya tidak ada perubahan sama sekali, saya sangat kecewa"
5,"Saya kasi binta 5 deh, karna hasil editan nya natural dan menyenangkan, walaupun banyak pitur yg berlangganan"
5,"Bagus aplikasi ini... Memudahkan saya untuk mengedit foto, sangat efektif"
4,"apk nya sangat bagus cuman bolehkah tombol ""hilangkan logo"" dibuat gratis?"
5,Aplikasi ini sangat membantu mengedit foto efek nya sangat bagus
4,Apk ini memang sudh bagus .cuma skrng bnyk yg pro nya .dlu .mh gak . Tlong di tingkt on lgi untuk gratis nya bosqu .biar gk pindah ke apk .lain .( Mkasih)
5,Aplikasi yang bagus tapi sayang banyak fitur yang harus bayar
1,"Maaf saya turunkan bintang menjadi 1,karena fitur nonton iklan sudah tidak ada,harus pakai Pro,,sudah tidak bagus lagi aplikasi ini"
5,"Apkikasi bagus tapi sayangnya di lock semua, dan harus berlangganan, coba dikasih gratis pasti akan terkenal"
5,Bagus banget appnya gampang di gunakan hasilnya jg lumayan bagus
2,"Sayangnya fitur tukar wajah Sudah di hilangkan , padahal banyak yg download terutama saya sendiri sangat mengunggulkan fitur tukar wajah tersebut.."
1,Dulu masih bisa pakai dengan menonton iklan sekarang sudah pure pro semua. Auto selamat tinggal
1,Saya sdh meng update pembayaran langganan hrni menggunanakn gopay.. Dan sudah kepotong dananya.. Tetapi kenapa masih tidak bisa menggunakan aplikasi pro nya??????
5,hasil memuaskan dan tutorial yg mudah dimengerti dan lakukan. thanks... FaceApp... 😃👍💪
5,Akhirnya Fitur Favorit saya kembali Bisa digunakan tanpa harus upgrade ke versi Pro. Aplikasi yang Keren
1,"Apk ini lebih mentingin cuan dari pada kenyamanan pengguna, plis lah jgn di bikin pro semua sisain lah 1 atau 2 fitur yg terbuka masa semua nya jadi pro kasihan rakyat jelata yg pake apk ini 🗿"
1,Sekarang sudah pake iklan klo mau edit selalu iklan dan PRo ksh bintang 1 aja dl
5,Cukup bagus tapi jngan br bayar jg dong kan ttp harus pake kuota jg masa masih harus bayar
5,Seneng klau bwt ibu2 mh bisa tampil cantik tapi jgn bnyk yg bebayarnya kita yg gratis yg sederhana saja
1,Aplikasinya sih keren tp sayang sekarang mh gak bisa pakai efek pro dgn nonton iklan lg
3,Kenapa gak bisa buka pro dgn nonton iklan dlu ya biasa nya bs.bula.stlan nonton iklan knapa jd berubah😭
5,"Utk awal puas, tp klo bisa perbanyak utk fitur-fitur yg free dong, tq"
1,Knp ya setelah update malah g bisa make fitur lainn kayak dulu....rela kok nonton iklan 1 menit juga 🔥🔥🔥🤔
1,"Aplikasi ini semakin lama bukannya semakin bagus tetapi malah semakin buruk.Banyak Pro nya.Sorry, rating nya terpaksa saya turunin.🙏🙏"
4,"Aplikasi ini ok keren, sayangnya sedikit yg pree nya, banyak yg pro"
1,Aplikasi yang tidak memuaskan sama sekali.udah berlangganan masih di batasi penggunaannya.jelek sekali
5,"kini kenapa aplikasi pakai pro sdh terbayar tp tidak bisa digunakan,perbarui terus ya munculnya.biaskah dibantu"
5,Apk nya sangat bagus tolong di tingkat kan lagi biar tambah mantap
3,kasih bintang 3 dulu.. kasih tambahan lg dong gaya rambut nya kurang memuaskan
5,"Bagus gampang, tidak ada iklan banyak. Asikk"
5,"Aplikasinya asyik dan keren,tapi pembeliannya sangat mahal tidak terjangkau. Biasanya bisa di beli dengan iklan tapi tidak lagi berlaku🙏🙏🙏"
1,Warna rambut aja yg pro harus premium dulu dan warnanya gk jelas lagi
2,Tadi pagi di pake masih ada fitur iklan nya.. Pas sore nya di update lah malah gak ada lagi fitur nonton iklan nya Harus berbayar Pada hal faceapp selama ini menjadi aplikasi yang terbaik dari aplikasi lain sejenis nya. Kecewa saya. Karna tidak bisa lagi menikmati yang gratisan.
5,"Saya sudah menbayar langganan.,tetapi tetap tidak bisa digunakan yang pro nya...malah minta perbarui langganan..."
2,"Entah kenapa FaceApp yang dulu selalu jadi pilihan Nomer 1 untuk saya, tapi sekarang tidak lagi.. 🖐️ Im so sorry.. this aplication not be the first choice for me.. Kalo mau eksis di Indonesia harus perbanyak Fitur Gratis, kalo bisa semuanya Gratiskan saja.. toh kalian sudah untung dengan jumlah Download dari seluruh warga negara Indonesia serta Iklan Iklan yg masuk ke Aplikasi kalian.. so, please listen, correct your aplication. Un install -> Goodbye 🖐️"
3,"ini kenapa fitur yang menggabungkan foto kita dengan org lain kenapa ga ada ya?? tolong dong di-update lagi, aplikasi nya udh bagus cmn knp fitur kemarin pada ilang🥲"
2,"Sebenarnya aplikasi nya bagus Tapi tidak ramah , setidaknya ada pilihan untuk yang free dengan menonton iklan Dan jangan ada water mark nya"
1,"Sudah tidak ada lagi fitur tukar wajah, padahal itu fitur favorit sekali. Sebenarnya apa masalahnya sehingga fitur itu dihilangkan? Saya sangat kecewa!"
2,Fitur penggabungan foto tidak bisa muncul di semua jenis hp. Pas aku ganti ke hp lain fitur penggabungan wajahnya ga muncul padahal dengan RAM yg lebih besar.
4,"Menurut aku sih udah bagus tapi ada satu kekurangan setiap menggunakan aplikasi ini berulang kali disuruh ganti ke versi pro jujur saya keganggu dengan itu, saya harap bisa di perbaiki lebih bagus dan tidak ada pembatasan pakai apk ini"
1,"Makin parah aplikasi ini, semuanya jadi PRO/Berbayar, padahal dulu bisa gratis dengan menonton iklan, sangat sangat parahhh"
2,POV. Kembalikan fitur iklan dong please walaupun agak lambat tetapi bagus kalau dengan fitur iklan... Please dan pengguna lain jangan banyak komplin tentang faceapp padahal faceapp bagus 😭😭😭
5,"Bagian impresive di Gratisin donk, atau bayar lewat nonton iklan... dan berharap juga bisa buat edit Video biar semakin banyak pengguna nya. trims"
4,lebih enak yang dulu pakek pro hanya dengan nonton iklan
2,Sudah bayar utk yg pro tp masih terkunci juga jd g bisa digunakan
5,Sangat membantu sekali tp bnyak yg premium alias berbayar.. 😌😌😌
5,Aplikasinya lumayan bagus apakah gak ada tukar wajah lagi di aplikasi ini...??????
1,"Ngapain coba harus pro baru bisa edit, gak kayak dulu yang bisa nonton iklan"
3,Bagus bisa ngedit tapi aneh ketika jadi perempuan gak kayak perempuan masih terlihat laki-laki mana banyak lagi yang bayar yang gratis cuma sedikit aduh
1,Coba harus ad nonton iklan .. Biar enak gak harus berbayar pro
5,Apk nya bagus dan membantu banget ..bikin fhoto makin sempurna ..
1,Payah udh ga ada iklan nya fitur pro nya
2,"Udah gak kayak dulu lagi bisa nonton iklan, yang sekarang apa apa bayar apa apa bayar udah gak suka gue 😡"
5,bagus..bisa membantu utk foto hp jadul jd bagus
1,"Setelah di update jadi tambah jelek, bukannya makin bagus malah ancur, huuuhhhh semua berbayar, parah tidak sprti yg dulu, sudah tidak layak lagi."
5,Sangat membantu untuk mengedit Poto agar menjadi lebih bagus.....👍👍👍👍👍👍
2,"Aplikasi nya jelek skrg gak sebagus dulu,smuanya jadi berbayar"
4,"apk nya bagus, cuman ada beberapa filt yang bisa digunakan dalam fitur berbayar, mnurut saya klo fitur berbayar tsb diganti dengan menonton iklan itu justru lebih baik, karena kita bisa merakan filt lainnya."
5,Bagus aplikasinya percantik TPI GK terlalu mengubah wajah aslinya 👍👍
5,Sangat bagus .mudah buat edit foto walau banyak yg bayar
5,"Keren, gampang digunakan, terbaik di kelasnya"
5,Aplikasinya bagus bisa merupah kulit jadi putih pakai rias
5,Bagus suka walaupun banyak iklan
1,"Aplikasi faceapp nya ga kaya dulu lagi,sekarang semua nya fro prabayar semua gada yg gratis/ liat iklan lgi sekarng malah semua nya fro ,,udah nyesel ah download lagi"
3,"Bagus banget,kalo bisa dua wajah Skalian diedit senyum"
5,Aplikasi sangat mudah digunakan dan hasilnya memuaskan
5,"Mantap..kalo bisa fitur lain gratis aja,,jangan berbayar"
1,"Setelah update gabisa pake fitur fitur yang tersedia, padahal sebelumnya aman aman aja, hadeuh bener bener kecewa!!!"
5,"Bagus banget,tapi sayang kebanyakan harus berbayar."
1,Udah bagus2 liat iklan malah di suruh bayar
1,Yah gbs edit lg.. udh jd pro smua 😐 sangat disayangkan..
5,Tolong tingkatkan lagi jangan ada fitur pro pra bayar
3,"maaf saya ksi bintang 3,di krnakn skrng gk bsa edit pakai iklan lagi,...hrus pakai prabayar."
1,saya sudah membayar langganan tapi kenapa aplikasi masih belum bisa di gunakan!!!
5,"Mayan lah drpd enggak, tp banyak fitur yg di lock, khususnya jenggot tambah lg dong yg gratisan"
2,"Kenapa app ini banyak yg di pro ,padahal aku suka,jadi sebagian gak bisa buat edit"
1,ga jelas padahal muka terlihat jelas tapi malah ada keterangan wajah tidak terdeteksi gajelasssss apk ini
1,"Bintang 1 dulu , soalnya ga bisa pake iklan seperti dulu.."
5,Cukup bagus namun hampir semua berbayar 😊
5,Sangat keren tpi mohon buka editan yg lainya masa di kunci🙏🙏🙏
5,Sangat suka dg aplikasi ini cepat tdk ribet hasilnya ok memuaskan Thankyou.. ..face app 🙏
1,"Jangan download aplikasi ini. Aplikasi susah digunakan, berbayar semua. Baru download untuk coba aja gak bisa. Mubazirrr buang2 waktu aja."
3,Saya kasih bintang 3... Karena di Pace app.. tidak ada bacaan tukar wajah.. Padahal kan.. baru aja 3 bln lewat saya download Pace app.. Karena kepenuhan.. jadi saya hapus.. Dan saat saya mau download Lg.. Gak.. Menu tukar wajah nya udah gak ada.. Pokoknya.. kurang lah.. gax kayak dulu lg
5,oke banget...hasil editan'y sangat memuaskan..👍👍
5,"Keren dan bagus, tapi fitur (our anak) memang di hapus ya? :')"
5,Aplikasi ini sangatlah bagus sampai di tiktok aja ada yang pakai misalnya laki di jadiin perempuan aja bagus banget aplikasi face ap ini membantu banget terimakasih face ap untung ada kamu😇🙏🏻
1,"Maaf karena selalu disuruh ke mode pro itu memberatkan , saya harap ga ada pro lagi , maaf saya turunin bintangnya"
5,mantaaaaap bangeeeeet bossskuuuu...salam dari org BREBES...tolong tingkatkan lagi...jgn pake bayar kalau bisa mah yg penting banyak yg suka....pasti banyak yg nilai juga bosku...tingkatkan lagi boskuuuu...🙏💪💪💪💪💪💪💪
1,Fitur tukar wajah sudah gak ada.. sekarang fitur pro harus berbayar tidak bisa dibuka pakai iklan.. auto uninstall.
1,Aplikasi apa inih dulu mah gak ada pembayaran tapi sekarang harus bayar saya hapus lagi deh
5,"Aplikasi ini dulunya bagus bisa digunakan utk yg pro dengan menonton iklan, mohon kembalikan seperti dulu, agar kami memberikan bintang 5"
1,Akitifin lagi kalau gunakan efek nonton iklan....
4,Sumpah aplikasi ini bkin aku tercengang😖 soalnya ini tuhh bagus bgt karena dia bisa mengubah wajah kita sesuai yang ada d foto pilihan kita ❤️‍🔥
1,"Saya kasih bintang satu soalnya kaga ada yg gratis. Padahal dengan iklan tdk masalah. Aku suka filternya bisa ubah warna rambut dll nya, skrg jd bayar..balikin yg gratis dong please.."
2,Makin kesini pro nya ko jadi di suruh bayar atau berlangganan coba kembalikan lagi ke versi nonton iklan nya kaya dulu
1,"Dikit"" update, kalo ga di update gabisa di pake"
5,"Aplikasi nya bagus, mudah digunakan dan menarik untuk mencoba berbagai tools yang tersedia."
5,Bagus bangets....dan membantu kekurangan di wajah saya!!!
5,Bagus aplikasinya tapi mahal klo mau lebih bagus lagi harus bayar
2,Kemarin menarik suka sekarang rada ngga sukaa karena fitur ganti wajah dihapus dri fitur apk tsb
1,Pro semua gak ada lagi iklan kecewa dehh ..
5,Kenapa belum normal.apakah harus update?.padahal apk nya bagus sekali
5,Tingkatkan kualitas editannya
1,Sekarang Semua Harus Pro Nonton Iklan Buat Gratisan Udah Gk Ada Lg Yahhh Terpaksa Auto Uninstal
5,Sangat bagus keluarga ku tertawa melihat editan lucu
5,Aplikasi paling keren sepanjang jaman
5,Terimakasi face app adalah aplikasi edit foto terbaik
4,Bagus cuma pilihan gratis kurang
5,sangat baguss apknya terbantu banget
5,Editan nya bagus sih cuma agak bingung dan susah aja.
1,Faceapp sekarang beda bgt dengan yang dulu... Sekarang jelek gk bisa digunakan. Dikit dikit suruh bayar.
2,"In apk gmn ci..di update bkanya tmbh bagus..mlh tmbh jelek..bnyk fitur yg hilang,fitur pindah wajahnya hilang,trs kbnykn hrs pro lgi...nyesel mlh d update..hadehhh"
1,"Udah bayar kok pembayaran tertunda, tidak seperti sebelumnya lgsung aktif .. tolong segera di-update dan verifikasi pembayaran saya makasih"
1,"Dulu saya bangga akan aplikasi ini,tapi sudah sebulan ini saya kecewa dengan Aplikasi ini,karna telah menjadi aplikasi berbayar,seperti Option Usia,telah menjadi berbayar yang sebelumnya gratis dan pilihan Usia dahulunya ada 3 pilihan Muda yaitu Muda 1,Muda 2,dan Muda 3.kini menjadi hanya 2 pilihan muda.sangat kecewa."
3,"Dulu cuman iklan, gak apalah adanya iklan, yg penting bisa dipergunakan aplikasinya. Tp sekarang harus bayar menjadi Pro.... sehingga aplikasi semuanya gak bisa digunakan yg pro.....sangat mengecewakan, padahal saya sdh lama menggunakan aplikasi ini....kembalikan az versi yang lama."
1,"Tolong perbaiki segera ,system' nya seperti semula , picture after and before nya tidak di satukan lingkaran bulat begitu..jadi wajah after agak terhalang oleh picture before. Dan ngga pilih pro seperti sekarang, sekarang jadi ngga bisa perubahan apapun, karena harus pilih pro !!"
1,"Kecewa banget. Dulu suka banget ngedit pake aplikasi ini, tapi semenjak fitur nonton iklan buat buka filter nya di ilangin, jadi males lagi buka aplikasi ini, mending uninstall aja, Tolong kembalikan fitur nonton iklan seperti sebelumnya, kalo sudah di balikin lagi fitur nonton iklan nya, bakal saya kasih bintang 5. Terimakasih"
1,"Yang berbayar gak bisa di liat dulu hasilnya bakal sesuai ekspetasi apa ngga, kalo bagus mending kalo kaga. Lebih baik yang berbayar bisa dapat diliat hasilnya jadi walaupun berbayar jika sesuai keingan gak akan menyesal"
1,"mengecewakan sangat jika macam ni..,... tak bisa pakai yg pro...harus bayar dan berlangganan.... gak seperti sebelumnya bisa menggunakan yg pro..meski harus nonton video berdurasi 20-25 detik....its oke..no problem... cuma kalo untuk berlangganan...orang akan fikir 7 kali...dan bisa gak laku nih aplikasi ini"
1,"App gak bisa dipakai. Ketika proses pengeditan selalu muncul gambar kucing dengan notif ""ada yg tidak beres"". Udh di uninstal kemudian instal uoang dan ulahg edit lagi selalu tidak bisa."
5,"Salah satu aplikasi edit foto terbaik. Saya suka dengan fitur pengubah komposisi wajahnya seperti edit ekpresi wajah dan pengubah gaya rambutnya, karena tidak merusak/merubah gestur wajah, jadi jika diedit hasil wajahnya tetap mirip dengan wajah orang aslinya. Tapi yang tidak saya suka adalah tolonglah jangan terlalu banyak fitur yang dikunci ke akses pro nya, terlalu banyak itu fitur yang dikunci, tambahkan lah itu fitur-fitur yang bisa digunakan gratis."
5,"Aplikasi nya bagus, bisa edit wajah dengan cepat secara magic,tapi sayang bayak yang pro. Tapi selain edit wajah bisa edit background secara magic, dengan pemotongan yang rapi, masalah background aman deh bisa dicari pakai web. Tapi saya harap yang pro bisa di iklan kan supaya enak memakai nya. Saya tahu aplikasi ini untuk pro harus berbayar dan berlangganan maupun download nya gratis, tolong donk developer. Sudah aku kasi bintang 5."
3,Saya kasih bintang 3 dulu min. . Sebenernya bagus sih.. tp pada editor gak bisa dipake semua karna berbayar.. padahal kalo lagi gak make up pas pake fun jadi kayak gak ada perubahan kecuali mode2 tertentu..
1,"Waktunya untuk meninggalkan faceApp, sebelum update, aplikasi ini sangat berguna, masih bisa digunakan tools pronya dengan menonton iklan, sekarang harus benar2 bayar, tanpa bayar, fitur2nya useless. Terima kasih atas fungsi2 sebelumnya faceAppa, tp skrg waktunya uninstal"
1,"Kembalikan versi lama,agar jika mau menggunakan fitur terkunci,cukup.menonton iklan saja,soalnya versi yang sekarang sangat jelek dan tidak bagus,mempersulit pengguna,tolong kembalikan versi lama,agar kami dapat menggunakan fitur terkunci hanya dengan menonton iklan,kalo sudah di kembalikan seperti semula,saya akan kasih bintang lima,untuk sekarang cukup 1 saja,terima kasih"
4,"Hello,saya tyarra saya mau memberi tahu bahwa aplikasi FaceApp ini sangat bagus dan menarik.Selain bisa mengubah wajah,aplikasi FaceApp ini bisa mengedit wajah menjadi cantik,halus,dan tampak muda.Selain itu ada juga berbagai pilihan filter.Tapi satu saja kekurangan dari aplikasi FaceApp ini adalah setiap ingin memakai pengedit atau filter yg Pro itu mengapa harus berbayar??Saya tidak bisa memakainya lebih banyak lagi!!!Dan mohon untuk pembuat aplikasi ini jangan ada yg berbayar dan thanks..."
1,"Aplikasinya Faceapp sekarang sudah tidak bagus, semua harus bayar. Pdhl tidak setiap saat kami edit foto. Jelek sekali, tolong diperbaiki, kembalikan seperti dulu. Walaupun harus nonton iklan ga masalah, tapi jangan sebagian dihilangkan dan jadi berbayar..SANGAT KECEWA"
4,"Apliaksi ini aku suka kali/ bagus banget deh,, disini kita bisa mengubah yg namanya rambut, wajah dan masih banyak ,lainnya tp knp banyak juga ya yg hrs buka pake pro jadinya gk maksimal deh fiturnya, aku kalo mau buka fitur yg kekunci pake tonton iklan aja jadinya. Ok bagi kalian yg suka ngedit foto buruan cari app ini gk maksa yg mau aja, pokoknya bagus banget meskipun harus pake pro jadi tolong diupdate atau perbaiki lagi ya biar tambah banyak lagi fiturnya. Maaf bila ad kata menyinggung😊🙏."
5,"Sangat bagus untuk mempercantik diri, lebih indah dan menawan. Penggunaannya juga simpel dan sangat mudah 👍👍👍👍 Ada perubahan kualitas, terutama dengan tambahan fitur kulit wajah, dan rambut. Hanya saja, ketika mengubah model rambut, ternyata, juntaian rambut terpengaruh pada noda atau corak baju. Lainnya, semuanya berjalan sempurna. Kualitas foto semakin baik dan sulit membedakan antara foto hasil editing FaceApp, dengan misalnya foto asli wajah wanita cantik yang sesungguhnya."
1,"awal pake bisa, walaupun sering ""ada yg tidak beres, harap coba lg"" tp setelah foto ke tiga malah gabisa sama sekali. malah muncul teks yg sama kek gitu trs. coba lg jg ttp gabisa. tolong diperbaiki lg ya aplikasi nya agar para pengguna semakin suka dgn aplikasi ini. dan pengguna nya bisa bertambah trs menerus."
4,"Keren, foto editnya Halus. Cuma, aplikasinya Butuh Sinyal yang sangat Kuat. Kalo provider/sinyal lagi agak lelet, langsung muncul gambar Kucing (tulisan : ada yg tidak beres), itu maksudnya app gagal muat foto krn sinyal kalian sdg melemah. Saran, coba dibuat lebih ringan lagi app-nya, biar gampang pakai. Thanks App.."
5,"Bagus banget efeknya, semua efek cocok di pakai di wajah. Puas banget pokonya, tapi kadang ada efek dimana foto saya tidak cocok memakai efek itu seperti panjangkan rambut tapi panjang rambutnya sampe menutup muka. Gak masalah, saya tetap puas sama FaceApp ini. Terimakasih"
4,"Semakin di-update semakin kurang bagus, fitur pro tidak bisa liat iklan lagi. Saya lebih suka versi beberapa tahun belakangan yang bisa melihat iklan. Tolong untuk pihak developer untuk mengembalikan iklan untuk memperoleh filter pro. Terimakasih 🙏🏻"
1,"berhasil edit foto hanya sekali, selanjutnya selalu muncul Gambar Kucing dengan pesan tulisan ""Server kami tidak tersedia untuk sementara karena berbagai alasan. Silakan coba lagi dalam beberapa jam"".. udah dicoba berkali2 sampai ber jam2 lewat banyak tetep aja gak bisa terus, selalu muncul gambar kucing dengan pesan itu terus. Kan jadi nyesel download"
3,Percaya atw tidak.. Aplikasi ini bisa melakukan pengeditan apabila terdeteksi wajah seseorang. Namun saya pernah mendeteksi sosok halus yang tak sengaja terEdit oleh apl ini.! Padahal saya hanya memFoto air terjun doang Setelah saya edit lagi pake jengot dll. Penampakanya makin jelas.
2,"percobaan foto pertama bisa di edit, tp sayangnya foto yg kedua tidak bisa di proses, selalu muncul notif kucing error ""Ada Yang Tidak Beres"",, mungkin untuk kebanyakan pengguna android, jd mohon untuk di perbaiki lagi.."
